"cat","n_trips","var"
2,734760,"car_ownership"
1,978972,"car_ownership"
9,74656,"car_ownership"
3,380628,"car_ownership"
0,385647,"car_ownership"
11,163765,"distance"
9,60769,"distance"
3,316472,"distance"
5,152121,"distance"
4,211801,"distance"
10,49306,"distance"
6,116589,"distance"
2,479325,"distance"
7,90553,"distance"
1,840264,"distance"
8,73698,"distance"
7,7041,"duration"
5,42749,"duration"
3,424210,"duration"
1,1090079,"duration"
4,137139,"duration"
6,13531,"duration"
2,839914,"duration"
2,432751,"income"
11,70704,"income"
9,20109,"income"
3,346136,"income"
5,151573,"income"
4,207818,"income"
0,698793,"income"
10,16881,"income"
6,86519,"income"
7,57497,"income"
1,429897,"income"
8,35985,"income"
3,738965,"primary_mode"
5,43304,"primary_mode"
4,86319,"primary_mode"
6,144795,"primary_mode"
2,408235,"primary_mode"
7,12577,"primary_mode"
1,1120468,"primary_mode"
1,173226,"purpose"
9,27185,"purpose"
3,378350,"purpose"
5,466955,"purpose"
4,232390,"purpose"
6,79458,"purpose"
2,246558,"purpose"
7,71207,"purpose"
8,879334,"purpose"
8,225087,"trip_end_time"
22,40078,"trip_end_time"
11,107521,"trip_end_time"
9,110479,"trip_end_time"
15,297294,"trip_end_time"
19,112674,"trip_end_time"
21,60689,"trip_end_time"
3,4987,"trip_end_time"
17,175082,"trip_end_time"
5,29498,"trip_end_time"
4,11375,"trip_end_time"
0,2801,"trip_end_time"
10,99078,"trip_end_time"
6,104473,"trip_end_time"
14,194904,"trip_end_time"
13,128626,"trip_end_time"
2,1780,"trip_end_time"
16,219386,"trip_end_time"
7,260698,"trip_end_time"
12,118473,"trip_end_time"
20,84844,"trip_end_time"
1,1909,"trip_end_time"
18,144368,"trip_end_time"
23,18559,"trip_end_time"
22,36140,"trip_start_time"
11,110689,"trip_start_time"
9,100841,"trip_start_time"
15,296296,"trip_start_time"
19,105283,"trip_start_time"
21,55862,"trip_start_time"
3,6403,"trip_start_time"
17,164789,"trip_start_time"
5,39691,"trip_start_time"
4,14593,"trip_start_time"
0,2216,"trip_start_time"
10,98519,"trip_start_time"
6,137357,"trip_start_time"
14,225980,"trip_start_time"
13,134812,"trip_start_time"
2,1901,"trip_start_time"
16,204900,"trip_start_time"
7,275621,"trip_start_time"
12,121173,"trip_start_time"
20,79401,"trip_start_time"
1,1800,"trip_start_time"
18,134365,"trip_start_time"
23,12694,"trip_start_time"
8,193337,"trip_start_time"
